ID,이름,대사,,,
1,나레이션,새로 지어지는 아파트의 위치와 간략한 도면이 그려져 있다.,,1~4,설계도
2,강혜성,이 근처 주택가를 허물고 지으려나 봐요.,,5~9,건설 인부들
3,차지원,그래 보이네. 반대가 심할만했겠어.,,,
,,여기에 살던 사람들은 어떤 분들이었어?,,,
4,강혜성,원래는 여기에 나이 드신 어르신들이 많이 살고 계셨어요.,,,
,,지금은… 다 다른 곳으로 이사 가셨겠지만요.,,,
5,나레이션,쉬고 있는 인부들이 대화를 나누고 있다.,,,
,,조금 더 자세히 들어보자.,,,
6,건설 인부,이번 주만 여섯 명이 다쳤다는군.,,,
,,일 15년 하면서 이런 적도 처음이라고.,,,
,,진짜 뭐… 귀신이라도 들린 거 아냐?,,,
,,부상당한 사람들도 다 같이 무슨 헛것이라도 본 사람마냥 굴던데….,,,
,,게다가 공사 전에 무슨 일도 있었다며?,,,
,,무슨 할머니가 시위하러 나가다가 쓰러졌댔나….,,,
7,강혜성,(재개발 직전에 무슨 사고가 있었던 모양이야….),,,
8,건설 인부,…어? 잠깐' 학생이 여기에서 뭘 하는 거야?,,,
,,학생' 여기 있다가 다쳐. 어서 집으로 돌아가!,,,
9,강혜성,죄' 죄송합니다!,,,
