ID,이름,대사,,,
1,나레이션,광고 전단이다.,,1~4,분양 광고
,,본래 주택가였던 곳을 재개발하여 신축 아파트를 건설하는 모양이다.,,5~7,서류
2,강혜성,신축 아파트가 생기면 좋은 거 아닌가요? ,,8~12,부동산 업자
,,낡은 집은 계속 살기에는 위험하기도 하고….,,,
3,현우,글쎄…. 남들이 보기에 낡은 집이더라도',,,
,,누군가에게는 삶의 터전이었을 수도 있으니까.,,,
4,강혜성,그렇군요….,,,
5,나레이션,서류 몇 장이 테이블 위에 올려져 있다.,,,
,,재개발에 동의하면 보상금이 나온다고 기재되어 있다.,,,
6,부동산 업자,어어' 그런 건 마음대로 보면 안 돼!,,,
7,강혜성,죄' 죄송합니다!,,,
8,부동산 업자,어서 오십쇼~  무슨 일로 오셨습니까?,,,
9,차지원,아~ 다름이 아니라' 집을 좀 보려고 하는데요.,,,
,,근데 최근에 안 좋은 소문을 들어서….,,,
,,뭐… 귀신이 나온다나?,,,
,,그런 말을 들으니까 이 동네는 좀 꺼려지는 거 있죠?,,,
10,부동산 업자,귀' 귀신이라뇨~ 하하하. 누가 그런 소문을!,,,
,,그냥 공사 도중에 인부 몇몇이 다친 것 가지고 누가 걸고넘어진 것뿐이죠.,,,
,,안 그래도 재개발 들어가기 전부터 반대 시위를 하던 사람들이 좀 있었는데….,,,
,,보나 마나 그쪽 사람들이 헛소문 낸 거 아니겠습니까?,,,
11,차지원,아~ 그렇구나. 고마워요! ,,,
12,강혜성,(엄청 뻔뻔하시다….),,,
