ID,캐릭터 이름,대사
1,부동산 업자,(... 한숨...)
2,강혜성,어... 지원 언니! 부동산이면 동네 토박이일테니
,,동네 소문에 대해서 잘 알고 계시지 않을까요?
3,차지원,오~ 우리 혜성이~ 진짜 많이 똑똑한데?
,,그럼 우리 혜성이가 한 번 물어보고 올까?
4,강혜성,... ... 네!?!?
,,저... 는 자신이 잘 없는데...
5,차지원,괜찮아 괜찮아! 물어보고 와!
6,강혜성,(우물쭈물...)
,,저... 선생님...
7,부동산 업자,(영업용 미소) 어어. 그래그래. 학생 무슨 일이야?
8,강혜성,아...! 다름이 아니라 여쭤보고 싶은 게 있어서요.
9,부동산 업자,허허. 학교 과제 뭐 그런건가?
10,강혜성,앗' 네!!! 혹시 음... 동네에서 뭔가
,,눈에 띄게 안 좋은 일이 일어난 적이 있을까요?
,,막... 뉴스에 난 사건이라던가...
11,부동산 업자,요 녀석아. 부정탄다~ 그런 거 막 물어보고 다니는 거 아니다!!
,,어이구... 요새는 학생들도 별 이상한 걸 막 물어보고 다니지...
,,... 됐다. 재개발 문제로도 안 그래도 머리가 아파 죽겠는데.
,,그 할머니는 왜 끝까지 고집을 부려가지고 사람을 힘들게 만들어?
12,강혜성,(... 할머니? 부동산?)
13,부동산 업자,얘야' 피곤하니 이제 가줄래?
