ID,이름,대사,,,
1,차지원,여긴 학원이구나.,,,
,,우리보단 혜성이 네가 이야기 나눠보는 게 좋지 않겠어?,,1~9,학원
2,강혜성,제… 제가요!?,,10~23,카페
3,차지원,자' 자~ 그러지 말고. ,,24~26,꽃집
4,나레이션,지원이 혜성의 등을 떠민다.,,,
5,강혜성,…으앗' 안으로 들어와버렸잖아!,,,
,,어쩔 수 없지… … ….,,,
,,아' 안녕하세요…!!,,,
6,강사,응? 못 보던 학생인데… 혹시 어떻게 왔니?,,,
7,강혜성,그' 그게….,,,
,,요새 이 학원이 인기가 많다고 들어서요~.,,,
,,원래는 이 정도로 학원생 수가 많지는 않았던 것 같은데 말이에요?,,,
,,(나 완전 수상해 보이는 거 아냐?),,,
8,강사,그건 그렇지….,,,
,,올해 초부터 재개발 공사에 들어가면서 이쪽으로 새로 이사오는 가족들도 많아졌거든.  | 그러다 보니 자연스럽게 학생 수도 늘었어.,,,
,,학생 수가 늘어난 건 좋지만' 그래도 예전에 비해 학생들끼리 경쟁이 심화된 것 같아서 | 그 부분은 조금 걱정이 되는구나.,,,
,,소규모로 운영될 적에는 교실에서 아이들끼리 친하게 지내고 웃음소리도 많이 들렸는데 말이야.,,,
,,…이런' 옛날 생각이 나서 나도 모르게 안 해도 될 말까지 떠들어버렸네.,,,
,,방금 말은 잊어주렴.,,,
9,강혜성,(재개발 이전에는 학원 분위기가 좀 더 좋았었나보네….),,,
10,나레이션,카페 종업원들이 바쁘게 주문을 받고 있다.,,,
11,강혜성,…왠지 많이 바빠 보이네요.,,,
12,차지원,어쩔 수 없지. 우리도 목 좀 축일까?,,,
,,현우 네가 다녀와! 혹시 캐낼 거 있으면 한 번 해보고!,,,
13,현우, …어.,,,
14,카페 주인,다음 손님 주문받겠습니다~.,,,
15,현우,아이스 아메리카노 세 잔이요. 그리고 혹시 남는 자리 있을까요?,,,
16,카페 주인,어머' 죄송해서 어떡하죠…. 이 시간대에는 손님이 많아서 포장만 가능하세요.,,,
17,현우,흠… 많이 바쁘신가 보네요.,,,
18,카페 주인,원래 이 정도로 바쁘진 않았는데 말이에요.,,,
,,최근에 이쪽에 재개발 공사를 하고 있잖아요? | 그래서 그런지 이쪽 상권이 커지면서 오가는 손님들도 많아졌어요.,,,
19,현우,바쁘긴 해도 장사가 잘 되니까 좋으시겠네요.,,,
20,카페 주인,그건 그렇죠~. 처음에는 반대하는 사람들도 있어서 | 개발이 된다' 안 된다 말이 좀 많았었는데….,,,
,,가장 극성으로 반대하던 사람이 돌아가시면서 | 결국 그냥 진행하기로 했나 보더라요.,,,
21,현우,안타까운 일이 있었네요…. 그 사람은 어떻게 돌아가셨나요?,,,
22,카페 주인,심장마비… 라고 했던 것 같은데… ….,,,
,,…아' 커피 나왔습니다! 맛있게 드세요~.,,,
23,현우,네' 감사합니다.,,,
24,나레이션,꽃집 주인은 다른 사람과 통화 중인 것 같다.,,,
,,조금 더 자세히 들어보자.,,,
25,꽃집 주인,…응' 재개발 덕분에 예전에 비하면 장사는 잘 되고 있지.,,,
,,그래도 잘 모르겠어. 그래도 내가 여기 어렸을 때부터 살고 있었잖아?,,,
,,옛날엔 주택가 주변에 공터도 있고 | 그래서 자주 친구들이랑 뛰놀고 그랬었는데',,,
,,그런 추억이 사라진다니까 많이 아쉽긴 해.,,,
26,강혜성,(마음이 많이 복잡하신가 봐.),,,
,,(오래 살던 사람들에게는 재개발이 마냥 반가운 소식은 아니었을 수도 있겠어.),,,
