ID,캐릭터 이름,대사
1,차지원,혜성이와 정식으로 나가는 첫 임무네!
,,혜성아' 우리 협회의 임무 진행 방식에 대해서는 기억나?
2,강혜성,그... 러니까...
,,"악귀가 만든 결계에 입장하기 위해서
일단 악귀의 발생 원인을 밝혀야 한다고 하셨죠?"
3,차지원,"맞아! 그냥 바로 결계에 입장해서 악귀를 퇴마할 수도 있지만
그럴 경우 악귀의 분노가 강해져 퇴마가 많이 힘들어질거야."
,,모든 퇴마는 악귀의 발생 원인을 밝혀서'
,,그 한을 적당히 풀어준 다음에 이루어지는 게 올바른 순서라는 걸 기억해!
4,강혜성,"네!! 그럼 일단 이 지역 주변을 탐색하며 악귀가 왜 발생했는지
주변 소문을 모으는 게 우선이겠죠?"
5,차지원,혜성이' 정말 똑똑한데? 괜찮은 퇴마사가 될 게 분명해!
6,현우,... 지원. 그런 이야기는 함부로 하지마.
7,차지원,뭐야' 떠오르는 혜성에게 질투해?
8,현우,그런 말이 아니잖아.
9,차지원,그럼 뭐야? 아무튼 혜성아! 이번 악귀에 대한 간단한 정보를 알려줄게.
,,"이번 악귀는 주택가 중심지에 발생해서 그리 강해보이진 않더라도'
세심한 주의를 가지고 관찰해야 할 필요가 있어 보여."
,,악귀 외관 상 보이는 나이는 꽤 나이가 있어 보이는데...
,,악귀의 외관은 죽을 당시의 심상이 가장 큰 영향을 미치니까' 확신할 순 없겠네.
10,강혜성,음... 그럼 역시 돌아다니면서 정보를 수집해봐야겠네요.
11,차지원,아이고' 그래그래. 착하기도 하지. 가보자!
12,강혜성,네!!!!
13,현우,... ...
